CODIGO	NOMBRE	DEPARTAMENTO	MATRICULA TOTAL	Inicial 1	Inicial 2	Inicial 3	Parvularia 4	Parvularia 5	Parvularia 6	Primer Grado	Segundo Grado	Tercer Grado	Cuarto Grado	Quinto Grado	Sexto Grado	SÇptimo Grado	Octavo Grado	Noveno Grado	Primer A§o	Segundo A§o	Tercer A§o	Primer Grado - A§o 1	Primer Grado - A§o 2	Segundo Grado - A§o 1	Segundo Grado - A§o 2	Tercer Grado - A§o 1	Tercer Grado - A§o 2	Cuarto Grado - A§o 1	Cuarto Grado - A§o 2	Laboral Inicial A§o 1	Laboral Inicial A§o 2	Especializaci¢n Laboral A§o 1	Especializaci¢n Laboral A§o 2	Especializaci¢n Laboral A§o 3
10105	"CENTRO ESCOLAR ""HACIENDA SAN MARTIN Y LARIN"""	AHUACHAPµN	346				19	19	28	22	31	36	49	37	26	29	29	21																
10106	"CENTRO ESCOLAR ""FUNDACI‡N CESSA"""	SANTA ANA	23				6	11	6																									
10108	"CENTRO ESCOLAR ""CANTON GUAYAPA ABAJO"""	AHUACHAPµN	497				7	20	42	47	33	45	39	52	40	71	52	49																
10109	"CENTRO ESCOLAR ""FINCA EL SALTO"""	AHUACHAPµN	182				2	14	14	31	20	19	11	21	14	13	10	13																
10110	"COMPLEJO EDUCATIVO ""COLONIA NUEVA"""	AHUACHAPµN	506				9	39	34	41	52	44	38	50	38	48	54	37	13	9														
10111	"CENTRO ESCOLAR ""HACIENDA HOJA DE SAL"""	AHUACHAPµN	34				1	6	3	3	5	3	5	7	1																			
10112	"CENTRO ESCOLAR ""CASERIO LOS CALDERON"""	AHUACHAPµN	105				4	7	10	9	16	8	11	8	11	6	6	9																
10113	"CENTRO ESCOLAR ""CASERIO CUILAPA"""	AHUACHAPµN	87				4	5	10	17	8	14	11	7	11																			
10114	"CENTRO ESCOLAR ""CASERIO EL CARMEN"""	AHUACHAPµN	137				2	20	11	27	17	20	11	16	13																			
10115	"CENTRO ESCOLAR ""CANTON ZAPUA"""	AHUACHAPµN	34				2	6	2	1	6	5	4	4	4																			
10116	INSTITUTO NACIONAL DE JUTIAPA	CABA•AS	46																21	12	13													
10117	INSTITUTO NACIONAL DE EL REFUGIO	AHUACHAPµN	178																93	85														
10118	"CENTRO ESCOLAR ""CASERIO EL MANGO"""	AHUACHAPµN	137					6	7	18	7	16	12	13	16	13	13	16																
10119	"CENTRO ESCOLAR ""HACIENDA LAS DELICIAS"""	AHUACHAPµN	360				2	13	23	37	31	29	43	46	29	46	28	33																
10120	"CENTRO ESCOLAR ""DOCTOR SIXTO ALBERTO PADILLA"""	AHUACHAPµN	794				14	40	57	70	80	85	77	64	92	80	69	66																
10121	"CENTRO ESCOLAR ""LEOPOLDO MAYEN TORRES"""	AHUACHAPµN	268				1	8	21	22	18	27	27	33	36	23	28	24																
10122	"CENTRO ESCOLAR ""CANTON SAN ANTONIO"""	AHUACHAPµN	161				3	11	12	14	8	28	17	20	18	12	10	8																
10123	CENTRO ESCOLAR URBANIZACION SANTA TERESA DE LAS FLORES	SAN SALVADOR	564				33	44	52	46	49	57	59	45	49	39	57	34																
10124	"CENTRO ESCOLAR ""PROFESOR JORGE ALFREDO MENDOZA"""	SONSONATE	176				8	15	10	25	19	19	14	18	14	12	13	9																
10125	CENTRO ESCOLAR CANT‡N EL ZAPOTE	AHUACHAPµN	280				10	16	27	33	25	30	23	27	21	33	20	15																
10126	CENTRO ESCOLAR  PARA SORDOS DE COJUTEPEQUE	CUSCATLµN	28					1	1	3	1	1	3		5	5	2	6																
10127	"CENTRO ESCOLAR ""HACIENDA NUEVA YORK"""	AHUACHAPµN	145				4	14	18	15	20	22	23	22	7																			
10128	"ESCUELA DE EDUCACION PARVULARIA ""PRUDENCIA AYALA"""	LA LIBERTAD	86					31	55																									
10129	"CENTRO ESCOLAR ""CASERIO SANTA ELENA"""	AHUACHAPµN	70				4	5	9	7	7	8	12	8	10																			
10130	CENTRO ESCOLAR HACIENDA CHANMICO	LA LIBERTAD	326							27	37	39	41	41	41	36	32	32																
10131	CENTRO ESCOLAR CASER÷O EL CASTA•O	AHUACHAPµN	267					11	23	31	26	23	25	29	30	27	25	17																
10132	"CENTRO ESCOLAR ""COLONIA  NUEVA ESPERANZA"""	AHUACHAPµN	87				5	8	7	13	11	7	17	14	5																			
10133	"CENTRO ESCOLAR ""ANA CORALIA RAUDA DE CARDENAS"""	USULUTµN	30				6	1	5	4	8	2	4																					
10134	"COMPLEJO EDUCATIVO ""CANT‡N LA HACHADURA"""	AHUACHAPµN	586				4	18	37	36	62	44	41	42	55	69	41	35	51	33	18													
10136	"CENTRO ESCOLAR ""HACIENDA EL AMATAL"""	AHUACHAPµN	72				3	2	2	11	7	10	20	13	4																			
10137	INSTITUTO NACIONAL DE SAN MIGUEL TEPEZONTES	LA PAZ	297																115	130	52													
10138	"CENTRO ESCOLAR ""CANTON CARA SUCIA"""	AHUACHAPµN	1095					37	92	108	103	111	108	113	88	142	85	108																
10139	"COMPLEJO EDUCATIVO ""GARITA PALMERA"""	AHUACHAPµN	520				14	24	35	33	36	49	47	27	39	50	48	27	56	35														
10140	ESCUELA DE EDUCACI‡N PARVULARIA ASOCIACI‡N DE SE•ORAS DE MêDICOS	SAN SALVADOR	55				18	19	18																									
10141	COMPLEJO EDUCATIVO CASER÷O PUENTE ARCE, CANT‡N EL JOCOTILLO	AHUACHAPµN	729				7	34	53	72	61	74	65	62	58	96	51	52	30	14														
10142	"CENTRO ESCOLAR ""HACIENDA BOLA DE MONTE"""	AHUACHAPµN	244				2	6	22	22	32	20	33	29	23	21	14	20																
10143	"CENTRO ESCOLAR ""CASERIO MENDEZ"""	AHUACHAPµN	532				9	15	29	49	73	39	46	69	40	68	51	44																
10144	"CENTRO ESCOLAR ""DIVINO NI•O"""	LA LIBERTAD	9						5	4																								
10145	"CENTRO ESCOLAR ""CASERIO TALPETATE"""	AHUACHAPµN	210				9	18	19	26	26	20	14	27	12	12	14	13																
10146	"CENTRO ESCOLAR ""CASERIO LOS CONACASTES"""	AHUACHAPµN	310				1	11	35	35	37	30	22	59	32	24	20	4																
10147	"CENTRO ESCOLAR ""CANTON EL COROZO"""	AHUACHAPµN	207					12	12	20	21	24	24	21	25	20	17	11																
10148	"CENTRO ESCOLAR ""GENERAL FRANCISCO MENENDEZ"""	AHUACHAPµN	401							40	33	38	40	31	40	42	47	26	32	32														
10149	"CENTRO ESCOLAR ""CANTON EL PORTILLO"""	AHUACHAPµN	85				4	6	10	5	13	13	14	10	10																			
10150	"ESCUELA DE EDUCACION PARVULARIA ""DE SAN LORENZO"""	AHUACHAPµN	89				13	35	41																									
10151	"CENTRO ESCOLAR ""GILBERTO AUGUSTO CARCAMO"""	AHUACHAPµN	518							47	38	37	37	50	57	92	83	77																
10152	"COMPLEJO EDUCATIVO ""ABEL WILFREDO VELASCO CµRCAMO"""	AHUACHAPµN	323				5	20	24	21	20	31	21	37	33	27	45	39																
10153	"CENTRO ESCOLAR ""HERM‡GENES ALBANêS LEONOR"""	AHUACHAPµN	102				5	8	10	11	14	15	21	9	9																			
10154	"CENTRO ESCOLAR ""CANTON GUASCOTA"""	AHUACHAPµN	75					12	15	7	8	15	5	8	5																			
10155	"COMPLEJO EDUCATIVO ""CANT‡N LAS POZAS"""	AHUACHAPµN	501				7	25	20	24	27	34	47	49	40	36	48	34	52	58														
10156	"COMPLEJO EDUCATIVO ""PROFESOR PABLO SORIANO URQUILLA"""	AHUACHAPµN	989				24	42	53	65	53	69	72	67	83	125	85	89	96	59	7													
10157	"CENTRO ESCOLAR  ""CANTON EL CORTEZ """	AHUACHAPµN	255				7	14	17	31	20	26	27	20	28	27	20	18																
10159	"CENTRO ESCOLAR ""CANTON LA CONCEPCION"""	AHUACHAPµN	58				3	8	8	3	6	6	6	7	11																			
10160	COMPLEJO EDUCATIVO RESIDENCIAL ALTAVISTA	SAN SALVADOR	1289					67	69	80	80	81	89	86	89	91	90	88	175	180	24													
10161	CENTRO ESCOLAR COLONIA GUADALUPE	SONSONATE	251				8	17	14	30	23	23	28	26	22	27	19	14																
10162	ESCUELA DE EDUCACION PARVULARIA SAN JACINTO	SAN SALVADOR	19				7	5	7																									
10164	"CENTRO ESCOLAR ""CANTON MONTE HERMOSO"""	AHUACHAPµN	76				2	5	7	6	5	10	9	5	11	3	9	4																
10165	INSTITUTO NACIONAL DE CINQUERA	CABA•AS	47																26	21														
10166	"ESCUELA DE EDUCACION PARVULARIA ""PROFESOR ISIDRO ALFONSO MAGA•A"""	AHUACHAPµN	100				25	33	42																									
10167	"INSTITUTO NACIONAL ""LICENCIADO RENE PORFIRIO OSORIO"""	AHUACHAPµN	169																76	63	30													
10168	"CENTRO ESCOLAR ""CANTON LOMA LARGA"""	AHUACHAPµN	161				5	15	13	11	15	21	13	13	12	11	17	15																
10169	"COMPLEJO EDUCATIVO ""JOSê MART÷"""	AHUACHAPµN	965					17	37	58	54	60	88	57	93	63	80	88	118	87	65													
10170	"COMPLEJO EDUCATIVO  ""ADELA CALDER‡N DE HERRERA"""	AHUACHAPµN	614				7	33	41	38	38	45	47	42	33	44	39	31	77	55	44													
10173	"CENTRO ESCOLAR ""CANTON LA PANDEADURA"""	AHUACHAPµN	336				2	19	26	25	23	25	42	28	27	30	45	44																
10174	INSTITUTO NACIONAL DE EL ROSARIO	CUSCATLµN	88																41	34	13													
10176	"COMPLEJO EDUCATIVO ""JUAN DE DIOS DEL CID"""	AHUACHAPµN	947				5	20	63	79	82	90	81	74	90	119	108	97	23	16														
10177	"COMPLEJO EDUCATIVO ""PROFESOR RODRIGO FLORES"""	AHUACHAPµN	468				2	15	35	27	29	48	48	47	44	47	34	38	23	31														
10178	"CENTRO ESCOLAR ""CANT‡N EL JOBO"""	AHUACHAPµN	279				1	15	33	20	17	29	46	34	21	19	20	24																
10179	"ESCUELA DE EDUCACION PARVULARIA ""REPUBLICA DE ALEMANIA"""	AHUACHAPµN	51				16	20	15																									
10182	"INSTITUTO NACIONAL ""CANDELARIA DE LA FRONTERA"""	SANTA ANA	349																151	146	52													
10183	"COMPLEJO EDUCATIVO ""BARTOLOMê BOLA•OS"""	SANTA ANA	558				23	36	47	44	55	42	51	45	64	42	43	20	22	10	14													
10184	"CENTRO ESCOLAR "" CANTON LA CRIBA """	SANTA ANA	123				8	13	10	8	5	15	14	12	16	9	9	4																
10185	"CENTRO ESCOLAR ""GENERAL FRANCISCO MORAZµN"""	SANTA ANA	399				2	13	24	36	40	37	40	49	46	44	31	37																
10186	"CENTRO ESCOLAR ""CANTON EL JUTE"""	SANTA ANA	40				4	1	7	4	5		6	7	6																			
10187	"CENTRO ESCOLAR ""CANTON MONTE VERDE"""	SANTA ANA	145					1	15	7	18	23	14	21	12	11	14	9																
10188	"CENTRO ESCOLAR ""CANTON SAN CRISTOBAL DE LA FRONTERA"""	SANTA ANA	295				11	19	21	28	39	28	22	28	30	24	23	22																
10189	"CENTRO ESCOLAR "" CASERIO LOS TABLONCITOS """	SANTA ANA	92				4	6	11	12	13	13	12	12	9																			
10190	"CENTRO ESCOLAR ""CANTON CASA DE TEJAS"""	SANTA ANA	68					5	4	2	9	5	6	8	7	6	8	8																
10191	"CENTRO ESCOLAR ""COLONIA SAN JOSê, HACIENDA SANTA ADELA"""	SANTA ANA	50				1	5	5	5	4	6	12	6	6																			
10192	"CENTRO ESCOLAR "" CASERIO LAS CRISTALINAS, CANTON CASA DE TEJAS"""	SANTA ANA	54				6	5	4	7	5	9	9	4	5																			
10193	"CENTRO ESCOLAR "" COOPERATIVA SAN MIGUEL """	SANTA ANA	258					4	18	19	22	34	26	30	34	22	31	18																
10194	"CENTRO ESCOLAR ""CANTON TIERRA BLANCA"""	SANTA ANA	91				3	3	8	14	9	17	14	10	13																			
10195	"CENTRO ESCOLAR ""CANTON PIEDRAS AZULES"""	SANTA ANA	256					8	23	17	24	33	27	18	28	25	34	19																
10196	"ESCUELA DE EDUCACI‡N PARVULARIA ""PRESB÷TERO MAT÷AS ROMERO"""	SANTA ANA	236				48	89	99																									
10197	"CENTRO ESCOLAR ""SALOMON CA•AS"""	SANTA ANA	587				3	12	31	51	60	60	57	62	69	57	63	62																
